24.20             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
7233.1346  784.79999            
7331.452  785.5            
7429.7562  785.5            
7528.0472  785.40002            
7626.325  785.70001            
7724.5896  785.59998            
7822.8411  784.40002            
7921.0794  785.20001            
8019.3045  784.90002            
8117.5164  785.79999            
8215.7151  785.79999            
8313.9007  785.59998            
8412.0731  785.79999            
8510.2323  785.90002            
8608.3783  785.5            
8706.5112  785.5            
8804.6309  785.59998            
8902.7374  785.20001            
9000.8308  786.5            
9098.911  785.5            
9196.9781  786.20001            
9295.032  786.09998            
9393.0727  786.40002            
9491.1003  787.70001            
9589.1147  788            
9687.116  790.29999            
9785.1041  794.5            
9883.0791  798.40002            
9981.0409  808.40002            
10078.99  833.20001            
10176.925  878.20001            
10274.847  948            
10372.757  1023.4            
10470.653  1085.9            
10568.536  1114.9            
10666.406  1090.9            
10764.262  1060.8            
10862.106  1048.2            
10959.936  1026            
11057.753  1016.6            
11155.558  1021            
11253.349  1024.3            
11351.126  1028.1            
11448.891  1047.6            
11546.643  1075.1            
11644.381  1077            
11742.107  1086.3            
11839.819  1093.2            
11937.518  1100.5            
12035.204  1109.3            
12132.877  1111            
12230.537  1101.3            
12328.184  1075.1            
12425.817  1074.9            
12523.438  1073.8            
12621.045  1072.7            
12718.639  1058.3            
12816.22  1046.5            
12913.788  1050.4            
13011.343  1057            
13108.885  1057.7            
13206.414  1060.3            
13303.93  1054            
13401.432  1049.3            
13498.922  1054.2            
13596.398  1048.9            
13693.861  1055            
13791.311  1063            
13888.748  1051.3            
13986.172  1053.4            
14083.583  1064.5            
14180.981  1058.8            
14278.366  1061.1            
14375.738  1069            
14473.096  1071.7            
14570.442  1072.6            
14667.774  1070.1            
14765.093  1082.8            
14862.4  1087.8            
14959.693  1101.4            
15056.973  1100.4            
15154.24  1107.5            
15251.494  1101.1            
15348.735  1092.2            
15445.963  1073.9            
15543.178  1054.3            
15640.379  1053.5            
15737.568  1047.1            
15834.744  1047.8            
15931.906  1036.7            
16029.056  1032.1            
16126.192  1031.9            
16223.315  1032.1            
16320.426  1027.4            
16417.523  1018.3            
16514.607  1020.7            
16611.679  1013.8            
16708.737  1013.8            
16805.782  1005.9            
16902.814  1009.6            
16999.833  1015            
17096.839  1014.6            
17193.832  1010.3            
17290.812  1004.4            
17387.779  1002            
17484.732  996.20001            
17581.673  1003            
17678.601  997.59998            
17775.516  992.59998            
17872.418  996.40002            
17969.306  989.40002            
18066.182  995.40002            
18163.045  987.90002            
18259.894  990.40002            
18356.731  988.40002            
18453.554  992.70001            
18550.365  993.09998            
18647.162  986            
18743.947  990.5            
18840.719  992.29999            
18937.477  999.5            
19034.223  997.20001            
19130.955  994            
19227.675  995.09998            
19324.381  996.40002            
19421.075  1002.7            
19517.755  1002.8            
19614.423  1002.2            
19711.077  1008            
19807.718  1009.3            
19904.347  1009.4            
20000.962  1009.3            
20097.565  1011.4            
20194.154  999.20001            
20290.731  999.09998            
20387.295  1005.3            
20483.845  1003.7            
20580.383  1008.4            
20676.907  1011.8            
20773.419  1007.4            
20869.917  1012.4            
20966.403  1012.6            
21062.876  1007.5            
21159.335  1013.9            
21255.782  1020.5            
21352.216  1015.2            
21448.637  1011            
21545.044  1011.1            
21641.439  1017.9            
21737.821  1023.6            
21834.19  1022.9            
21930.546  1014.1            
22026.889  1005.6            
22123.219  1015.2            
22219.536  1007.3            
22315.84  1010.9            
22412.131  1003.8            
22508.409  999.70001            
22604.674  987.5            
22700.927  988.40002            
22797.166  984.70001            
22893.392  977.29999            
22989.606  976.70001            
23085.806  973.79999            
23181.994  968.09998            
23278.168  967.79999            
23374.33  970.5            
23470.479  971.79999            
23566.614  962.70001            
23662.737  960.59998            
23758.847  965            
23854.944  959.20001            
23951.028  965.5            
24047.099  964.59998            
24143.157  956.5            
24239.202  957.40002            
24335.235  954.40002            
24431.254  948.5            
24527.26  946            
24623.254  940.70001            
24719.235  944.20001            
24815.202  943.40002            
24911.157  942.5            
25007.099  949.29999            
25103.028  948.09998            
25198.944  943.20001            
25294.847  933            
25390.737  932.79999            
25486.614  936.90002            
25582.479  937.40002            
25678.33  936.59998            
25774.169  934.90002            
25869.994  935.29999            
25965.807  933.90002            
26061.607  935.20001            
26157.394  931.79999            
26253.168  937.70001            
26348.929  936.59998            
26444.677  935.5            
26540.413  939.40002            
26636.135  939.40002            
26731.845  938.79999            
26827.541  938            
26923.225  931.5            
27018.896  926.29999            
