x       y           
[m<sup>-1</sup>]     [CCD cts]         
3693.7736  786.90002            
3792.7201  787.09998            
3891.6534  787            
3990.5736  787.09998            
4089.4805  787.29999            
4188.3742  787.40002            
4287.2547  787.09998            
4386.122  787            
4484.9761  786.59998            
4583.8171  787.29999            
4682.6448  787.70001            
4781.4594  787.5            
4880.2607  787.79999            
4979.0489  787.70001            
5077.8239  787            
5176.5857  787.40002            
5275.3343  787.29999            
5374.0698  786.59998            
5472.792  787.29999            
5571.5011  787.09998            
5670.197  787.5            
5768.8797  787.09998            
5867.5493  787.5            
5966.2057  787.59998            
6064.8489  787.40002            
6163.4789  786.79999            
6262.0958  787.29999            
6360.6995  787.59998            
6459.29  786.79999            
6557.8674  787            
6656.4316  787.09998            
6754.9827  787            
6853.5206  787.29999            
6952.0453  787.20001            
7050.5569  787            
7149.0553  786.79999            
7247.5406  787.5            
7346.0127  787.20001            
7444.4717  787.09998            
7542.9175  787.20001            
7641.3502  787.40002            
7739.7697  787.29999            
7838.1761  787.20001            
7936.5694  787            
8034.9495  787.90002            
8133.3164  787.5            
8231.6703  787.70001            
8330.011  786.90002            
8428.3385  788            
8526.6529  786.90002            
8624.9542  787.59998            
8723.2424  787.79999            
8821.5174  787            
8919.7793  787.40002            
9018.0281  787.5            
9116.2637  787.90002            
9214.4863  787.59998            
9312.6957  789            
9410.892  788.79999            
9509.0751  789.20001            
9607.2452  791.59998            
9705.4021  791.5            
9803.546  794.5            
9901.6767  798.79999            
9999.7943  808.59998            
10097.899  832.29999            
10195.99  868.70001            
10294.068  926.90002            
10392.134  981.59998            
10490.186  1021.3            
10588.225  1013.9            
10686.25  999.5            
10784.263  974.29999            
10882.263  954.79999            
10980.249  955.59998            
11078.223  947.09998            
11176.183  952.70001            
11274.131  959.20001            
11372.065  959.5            
11469.986  970.20001            
11567.894  986.79999            
11665.789  994.90002            
11763.671  998.09998            
11861.54  1010.4            
11959.395  1017.6            
12057.238  1011.8            
12155.067  1008            
12252.884  1006.5            
12350.687  993.29999            
12448.478  993.29999            
12546.255  986.20001            
12644.019  984.59998            
12741.77  986.29999            
12839.508  977.29999            
12937.233  973.40002            
13034.945  974.29999            
13132.644  976.09998            
13230.33  981.40002            
13328.002  984.09998            
13425.662  985.59998            
13523.309  978.40002            
13620.942  984.79999            
13718.563  983.5            
13816.17  989.09998            
13913.764  997            
14011.346  993.90002            
14108.914  1002.7            
14206.469  995.29999            
14304.011  993.59998            
14401.541  997.29999            
14499.057  1010.8            
14596.56  1016.9            
14694.05  1020.6            
14791.527  1024.2            
14888.991  1046            
14986.442  1061.8            
15083.879  1064.6            
15181.304  1048.9            
15278.716  1034.2            
15376.115  1024.2            
15473.501  1014            
15570.873  1005.8            
15668.233  999.20001            
15765.58  981            
15862.913  975            
15960.234  976.29999            
16057.542  981.09998            
16154.836  969.20001            
16252.118  963.79999            
16349.387  966            
16446.642  961.09998            
16543.885  966.70001            
16641.114  964            
16738.331  963            
16835.534  957.09998            
16932.725  947.90002            
17029.902  947.70001            
17127.067  950.5            
17224.218  953.20001            
17321.357  944.29999            
17418.482  950.40002            
17515.595  947.09998            
17612.694  950.09998            
17709.781  956.29999            
17806.855  949.20001            
17903.915  946.5            
18000.963  942.79999            
18097.997  944.29999            
18195.019  942.59998            
18292.027  941.79999            
18389.023  939.29999            
18486.006  944            
18582.975  949.79999            
18679.932  956.09998            
18776.876  955.29999            
18873.806  952.59998            
