Single Spectrum_003_Spec.Data 1             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6667.1373  785.70001            
6765.6872  785.20001            
6864.2238  785.59998            
6962.7473  786            
7061.2577  785.79999            
7159.7549  786.20001            
7258.2389  786.20001            
7356.7098  785.79999            
7455.1675  785            
7553.6121  785.29999            
7652.0435  786.40002            
7750.4618  785.90002            
7848.867  786.09998            
7947.259  785.29999            
8045.6379  786.09998            
8144.0036  785.40002            
8242.3562  785.29999            
8340.6957  786            
8439.022  784.90002            
8537.3352  785.59998            
8635.6352  785.5            
8733.9221  786.40002            
8832.1959  786.09998            
8930.4566  785.59998            
9028.7042  786.20001            
9126.9386  787.09998            
9225.1599  787.5            
9323.3681  788.09998            
9421.5631  788.29999            
9519.745  790.79999            
9617.9139  794.20001            
9716.0696  796.70001            
9814.2122  803.59998            
9912.3416  818.40002            
10010.458  843.79999            
10108.561  896.29999            
10206.651  987.20001            
10304.728  1140.8            
10402.792  1312.5            
10500.843  1418.6            
10598.881  1451.4            
10696.906  1417.4            
10794.917  1377.9            
10892.916  1329.9            
10990.901  1272.3            
11088.873  1271.6            
11186.832  1279.3            
11284.778  1283.3            
11382.711  1301.6            
11480.631  1363.1            
11578.538  1398.7            
11676.432  1419.2            
11774.312  1431.7            
11872.18  1465.3            
11970.034  1482.2            
12067.876  1472.2            
12165.704  1444.6            
12263.519  1459            
12361.322  1450            
12459.111  1404.9            
12556.887  1414.1            
12654.65  1415.1            
12752.399  1375.4            
12850.136  1370.5            
12947.86  1372.5            
13045.571  1383            
13143.268  1385.3            
13240.953  1371.4            
13338.624  1357.7            
13436.283  1374.2            
13533.928  1378.8            
13631.56  1379.1            
13729.18  1388.3            
13826.786  1401.7            
13924.379  1435.2            
14021.959  1443.8            
14119.526  1442.9            
14217.08  1424.4            
14314.621  1412.1            
14412.149  1430.2            
14509.664  1460.7            
14607.166  1490.4            
14704.655  1505.7            
14802.13  1507.6            
14899.593  1503.5            
14997.043  1512.2            
15094.479  1521.7            
15191.903  1548.1            
15289.314  1512.5            
15386.711  1477.6            
15484.096  1441.2            
15581.467  1440.1            
15678.826  1421.2            
15776.171  1398.8            
15873.504  1390.3            
15970.823  1385.4            
16068.13  1380.6            
