x       y           
[m<sup>-1</sup>]     [CCD cts]         
6656.4316  786.90002            
6754.9827  786.90002            
6853.5206  787.40002            
6952.0453  786.90002            
7050.5569  787.29999            
7149.0553  787.20001            
7247.5406  787.59998            
7346.0127  787.20001            
7444.4717  786.79999            
7542.9175  787.20001            
7641.3502  787.29999            
7739.7697  786.79999            
7838.1761  787.79999            
7936.5694  787.90002            
8034.9495  787            
8133.3164  787.09998            
8231.6703  786.59998            
8330.011  787.20001            
8428.3385  786.90002            
8526.6529  787.29999            
8624.9542  787.90002            
8723.2424  787.09998            
8821.5174  787.40002            
8919.7793  786.90002            
9018.0281  787.09998            
9116.2637  787.90002            
9214.4863  787.20001            
9312.6957  788.20001            
9410.892  789.29999            
9509.0751  789.40002            
9607.2452  792.59998            
9705.4021  792.40002            
9803.546  795.90002            
9901.6767  802.40002            
9999.7943  815.5            
10097.899  845.29999            
10195.99  900            
10294.068  969            
10392.134  1038.3            
10490.186  1076.8            
10588.225  1086.4            
10686.25  1059.5            
10784.263  1028.4            
10882.263  1003.8            
10980.249  992            
11078.223  987.90002            
11176.183  997.70001            
11274.131  1005.5            
11372.065  1015.8            
11469.986  1033.2            
11567.894  1047.5            
11665.789  1061.1            
11763.671  1068.3            
11861.54  1073.8            
11959.395  1089.5            
12057.238  1080.8            
12155.067  1071.2            
12252.884  1065.3            
12350.687  1059.4            
12448.478  1057.4            
12546.255  1056.8            
12644.019  1050.5            
12741.77  1048.7            
12839.508  1048.3            
12937.233  1041.7            
13034.945  1046.1            
13132.644  1046.7            
13230.33  1044.9            
13328.002  1043.9            
13425.662  1055.5            
13523.309  1045.1            
13620.942  1052.2            
13718.563  1060.3            
13816.17  1063.2            
13913.764  1077.8            
14011.346  1076.5            
14108.914  1065.4            
14206.469  1063.5            
14304.011  1078.9            
14401.541  1080.1            
14499.057  1077.7            
14596.56  1079.7            
14694.05  1091.4            
14791.527  1112            
14888.991  1125.3            
14986.442  1137.7            
15083.879  1141.3            
15181.304  1118.6            
15278.716  1113            
15376.115  1103.8            
15473.501  1086.3            
15570.873  1073.6            
15668.233  1064.7            
15765.58  1051.8            
15862.913  1044.4            
15960.234  1043.2            
16057.542  1036.2            
16154.836  1034.4            
16252.118  1037.7            
