Single Spectrum_013_Spec.Data 1 1.1.1             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
2834.6059  776            
3041.8936  775            
3249.1231  777            
3456.2943  777            
3663.4075  775            
3870.4624  775            
4077.4593  776            
4284.398  775            
4491.2787  777            
4698.1013  775            
4904.8658  776            
5111.5724  776            
5318.2209  774            
5524.8115  776            
5731.3442  775            
5937.8189  776            
6144.2357  778            
6350.5947  777            
6556.8958  778            
6763.139  781            
6969.3245  779            
7175.4521  783            
7381.522  787            
7587.5342  789            
7793.4886  797            
7999.3853  803            
8205.2243  804            
8411.0057  800            
8616.7295  808            
8822.3956  807            
9028.0042  801            
9233.5552  807            
9439.0486  808            
9644.4846  808            
9849.863  810            
10055.184  807            
10260.447  808            
10465.653  806            
10670.802  806            
10875.893  809            
11080.927  809            
11285.904  805            
11490.823  805            
11695.685  800            
11900.49  805            
12105.237  807            
12309.927  805            
12514.56  806            
12719.136  809            
12923.654  805            
13128.116  807            
13332.52  807            
13536.867  802            
13741.157  805            
13945.391  801            
14149.567  806            
14353.686  801            
14557.748  805            
14761.753  801            
14965.701  804            
15169.592  803            
15373.426  803            
15577.204  800            
15780.924  803            
15984.588  803            
16188.195  799            
16391.745  797            
16595.238  798            
16798.675  801            
17002.054  799            
17205.378  795            
17408.644  800            
17611.854  799            
17815.007  801            
18018.103  796            
18221.143  799            
18424.127  795            
18627.053  794            
18829.923  794            
19032.737  801            
19235.494  800            
19438.195  799            
19640.839  799            
19843.427  798            
20045.959  799            
20248.434  794            
20450.853  794            
20653.215  799            
20855.521  799            
21057.771  798            
21259.964  798            
21462.101  792            
21664.182  794            
21866.207  797            
22068.176  798            
22270.088  794            
22471.945  794            
22673.745  795            
22875.489  798            
23077.177  796            
23278.809  794            
23480.384  792            
23681.904  795            
23883.368  799            
24084.776  790            
24286.128  794            
24487.424  795            
24688.664  794            
24889.848  795            
25090.977  793            
25292.049  792            
25493.066  792            
25694.027  791            
25894.932  791            
26095.781  793            
26296.575  793            
26497.312  794            
26697.994  794            
26898.621  795            
27099.192  797            
27299.707  796            
27500.167  796            
27700.571  791            
27900.919  792            
28101.212  795            
28301.449  792            
28501.631  795            
28701.757  793            
28901.828  792            
29101.844  793            
29301.804  795            
29501.708  798            
29701.557  797            
29901.351  797            
30101.09  799            
30300.773  797            
30500.401  792            
30699.973  794            
30899.491  796            
31098.953  796            
31298.36  790            
31497.712  799            
31697.008  795            
31896.25  795            
32095.436  798            
32294.567  795            
32493.643  796            
32692.664  794            
32891.63  792            
33090.541  790            
33289.397  791            
33488.198  796            
33686.944  792            
33885.635  802            
34084.272  793            
34282.853  797            
34481.379  797            
34679.851  795            
34878.267  795            
35076.629  795            
35274.936  800            
35473.189  793            
35671.386  798            
35869.529  796            
36067.617  794            
36265.651  794            
36463.629  795            
36661.554  797            
36859.423  799            
37057.238  794            
37254.998  792            
37452.704  793            
37650.355  797            
37847.952  796            
38045.494  800            
38242.982  797            
38440.415  797            
38637.794  795            
38835.118  800            
39032.388  796            
39229.603  792            
39426.765  793            
39623.872  800            
39820.924  794            
40017.922  795            
40214.866  796            
40411.756  795            
40608.592  798            
40805.373  796            
41002.1  798            
41198.773  796            
41395.391  798            
41591.956  794            
41788.467  795            
41984.923  797            
42181.325  799            
42377.674  797            
42573.968  799            
42770.208  795            
42966.394  799            
43162.527  793            
43358.605  802            
43554.629  795            
43750.6  796            
43946.516  798            
44142.379  794            
44338.188  799            
44533.943  794            
44729.644  799            
44925.292  795            
45120.885  797            
45316.425  798            
45511.912  798            
45707.344  796            
45902.723  799            
46098.048  795            
46293.32  794            
46488.537  788            
46683.702  796            
46878.812  798            
47073.87  795            
47268.873  790            
47463.823  798            
47658.72  797            
47853.563  800            
48048.352  797            
48243.089  803            
48437.771  799            
48632.401  797            
48826.977  798            
49021.499  794            
49215.968  795            
49410.384  796            
49604.747  796            
49799.056  795            
49993.312  801            
50187.515  799            
50381.665  802            
50575.761  797            
50769.804  798            
50963.795  798            
51157.731  796            
51351.615  799            
51545.446  795            
51739.224  799            
51932.948  798            
52126.62  795            
52320.238  798            
52513.803  797            
52707.316  796            
52900.776  799            
53094.182  800            
53287.536  795            
53480.836  803            
53674.084  805            
53867.279  799            
54060.421  796            
54253.511  800            
54446.547  797            
54639.531  799            
54832.462  798            
55025.34  806            
55218.166  800            
55410.939  801            
55603.659  803            
55796.326  801            
55988.941  806            
56181.503  800            
56374.013  797            
56566.47  802            
56758.874  802            
56951.226  803            
57143.525  799            
57335.772  806            
57527.966  808            
57720.108  802            
57912.198  803            
58104.235  803            
58296.219  798            
58488.151  808            
58680.031  808            
58871.859  802            
59063.634  806            
59255.356  806            
59447.027  799            
59638.645  803            
59830.211  807            
60021.725  804            
60213.186  798            
60404.596  803            
60595.953  802            
60787.258  801            
60978.511  800            
61169.711  799            
61360.86  802            
61551.957  803            
61743.001  802            
61933.994  798            
62124.934  803            
62315.822  801            
62506.659  797            
62697.443  805            
62888.176  804            
63078.857  797            
63269.485  799            
63460.062  799            
63650.587  808            
63841.06  803            
64031.482  803            
64221.851  798            
64412.169  806            
64602.435  804            
64792.649  802            
64982.811  802            
65172.922  802            
65362.981  797            
65552.988  803            
65742.944  799            
65932.848  806            
66122.701  803            
66312.501  801            
66502.251  800            
66691.949  797            
66881.595  800            
